idCyrPulc1	GCA_971800845.1	Cyrtopogon pulchripes
idDemPleb1	GCA_977927385.1	Demoticus plebejus
idDolVirg1	GCA_965140195.1	Dolichopus virgultorum
idDroImmi8	GCA_978041835.1	Drosophila immigrans
idEriIntr1	GCA_964034865.1	Eristalis intricaria
idHydMili2	GCA_965614475.1	Hydrotaea militaris
idLeiWinh2	GCA_965152755.1	Leia winthemii
idMinFasc2	GCA_965113145.1	Minettia fasciata
idMyoBucc1	GCA_965637325.1	Myopa buccata
idOryLuct2	GCA_965218485.1	Orygma luctuosum
idOryLuct5	GCA_965211955.1	Orygma luctuosum
idPamGerm1	GCA_965601395.1	Pamponerus germanicus
idPedRivo1	GCA_963082725.1	Pedicia rivosa
idSuiAffi2	GCA_964659615.1	Suillia affinis
idSysCten1	GCA_982375235.1	Systoechus ctenopterus
idTetArro1	GCA_981115235.1	Tetanocera arrogans
idTipFasc1	GCA_965151645.1	Tipula fascipennis
idTriFrot2	GCA_964659535.1	Trigonometopus frontalis
idWinCrue1	GCA_965649395.1	Winthemia cruentata
