# BUSCO version is: 5.8.2 
# The lineage dataset is: diptera_odb12 (Creation date: 2026-06-16, number of genomes: 76, number of BUSCOs: 5067)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
8at7147	Complete	SUPER_2	26017329	26027627	+	420.0	238	https://v12-1.orthodb.org/?query=8at7147	protein obstructor-E-like isoform X1
225at7147	Complete	SUPER_1	37234832	37233488	-	1000.4	426	https://v12-1.orthodb.org/?query=225at7147	Chromatin assembly factor 1 p55 subunit
284at7147	Complete	SUPER_3	17937367	17933549	-	402.3	182	https://v12-1.orthodb.org/?query=284at7147	nedd8-conjugating enzyme UbcE2M
421at7147	Complete	SUPER_1	24548241	24548784	+	297.8	151	https://v12-1.orthodb.org/?query=421at7147	mitochondrial ribosomal protein L51
445at7147	Complete	SUPER_3	12461433	12464644	+	726.8	338	https://v12-1.orthodb.org/?query=445at7147	arrestin domain-containing protein 2
452at7147	Complete	SUPER_5	79777233	79769275	-	1310.1	620	https://v12-1.orthodb.org/?query=452at7147	myotubularin-related protein 8
511at7147	Complete	SUPER_3	14693938	14690468	-	452.2	220	https://v12-1.orthodb.org/?query=511at7147	polycomb group RING finger protein 3
525at7147	Complete	SUPER_4	102158953	102158592	-	181.6	81	https://v12-1.orthodb.org/?query=525at7147	40S ribosomal protein S21
540at7147	Complete	SUPER_5	89911222	89909127	-	317.5	188	https://v12-1.orthodb.org/?query=540at7147	probable Ufm1-specific protease 1
836at7147	Complete	SUPER_4	24605046	24607619	+	1271.6	548	https://v12-1.orthodb.org/?query=836at7147	elongator complex protein 3
841at7147	Complete	SUPER_3	14611380	14612476	+	586.6	283	https://v12-1.orthodb.org/?query=841at7147	Thioredoxin-like
908at7147	Complete	SUPER_1	47570911	47570081	-	370.7	170	https://v12-1.orthodb.org/?query=908at7147	DNA-directed RNA polymerase II subunit RPB7
962at7147	Complete	SUPER_5	14794950	14804619	+	539.0	327	https://v12-1.orthodb.org/?query=962at7147	metallophosphoesterase 1
994at7147	Complete	SUPER_3	105190146	105204431	+	402.2	194	https://v12-1.orthodb.org/?query=994at7147	cytochrome c oxidase assembly protein COX11, mitochondrial
1004at7147	Complete	SUPER_3	22640339	22638832	-	550.1	304	https://v12-1.orthodb.org/?query=1004at7147	lipid droplet-associated hydrolase
1049at7147	Complete	SUPER_1	36370477	36383529	+	875.2	411	https://v12-1.orthodb.org/?query=1049at7147	glycine receptor subunit alpha-4
1055at7147	Complete	SUPER_4	15592525	15589863	-	650.6	336	https://v12-1.orthodb.org/?query=1055at7147	geranylgeranyl transferase type-1 subunit beta
1072at7147	Complete	SUPER_1	99665308	99674065	+	691.5	367	https://v12-1.orthodb.org/?query=1072at7147	methionine adenosyltransferase 2 subunit beta
1078at7147	Complete	SUPER_4	91792770	91793595	+	617.3	273	https://v12-1.orthodb.org/?query=1078at7147	DNA-directed RNA polymerase II subunit RPB3
1123at7147	Complete	SUPER_2	119009157	119010363	+	714.8	378	https://v12-1.orthodb.org/?query=1123at7147	actin-related protein 6
1142at7147	Complete	SUPER_3	54809896	54809224	-	307.9	164	https://v12-1.orthodb.org/?query=1142at7147	adrenodoxin-like protein, mitochondrial
1200at7147	Complete	SUPER_2	51008196	51003640	-	426.2	200	https://v12-1.orthodb.org/?query=1200at7147	ADP-ribosylation factor-related protein 1
1247at7147	Complete	SUPER_2	117237548	117236060	-	1013.4	480	https://v12-1.orthodb.org/?query=1247at7147	phenylalanine--tRNA ligase alpha subunit
1323at7147	Complete	SUPER_2	60255932	60260383	+	372.1	159	https://v12-1.orthodb.org/?query=1323at7147	ADP-ribosylation factor-like protein 5B
1690at7147	Complete	SUPER_4	20017311	20061213	+	1207.6	629	https://v12-1.orthodb.org/?query=1690at7147	protein borderless
1854at7147	Complete	SUPER_2	55032500	55026915	-	820.6	432	https://v12-1.orthodb.org/?query=1854at7147	pyruvate dehydrogenase 
1907at7147	Complete	SUPER_2	46751761	46750878	-	391.8	197	https://v12-1.orthodb.org/?query=1907at7147	mitochondrial ribosomal protein L22
1914at7147	Complete	SUPER_5	104843530	104844826	+	556.0	398	https://v12-1.orthodb.org/?query=1914at7147	uncharacterized protein LOC120771479
1984at7147	Complete	SUPER_5	88666156	88666694	+	305.1	154	https://v12-1.orthodb.org/?query=1984at7147	28S ribosomal protein S17, mitochondrial
2041at7147	Complete	SUPER_5	625338	625983	+	382.2	210	https://v12-1.orthodb.org/?query=2041at7147	sentrin-specific protease 8
2067at7147	Complete	SUPER_3	65359727	65367439	+	742.1	377	https://v12-1.orthodb.org/?query=2067at7147	Nocturnin
2304at7147	Complete	SUPER_5	20384100	20384540	+	189.0	112	https://v12-1.orthodb.org/?query=2304at7147	NADH dehydrogenase 
2306at7147	Complete	SUPER_3	4761712	4758420	-	879.8	399	https://v12-1.orthodb.org/?query=2306at7147	Arrestin
2332at7147	Complete	SUPER_5	95680294	95678189	-	529.9	269	https://v12-1.orthodb.org/?query=2332at7147	palmitoyltransferase ZDHHC3
2339at7147	Complete	SUPER_3	116013591	116016407	+	545.8	289	https://v12-1.orthodb.org/?query=2339at7147	Hydroxyacylglutathione hydrolase, mitochondrial
2552at7147	Complete	SUPER_2	78989685	79047205	+	1253.0	582	https://v12-1.orthodb.org/?query=2552at7147	ATP-binding cassette sub-family D member 3
2609at7147	Complete	SUPER_4	78479261	78471157	-	359.1	172	https://v12-1.orthodb.org/?query=2609at7147	protein tyrosine phosphatase type IVA 1
