# BUSCO version is: 5.8.2 
# The lineage dataset is: diptera_odb12 (Creation date: 2026-06-16, number of genomes: 76, number of BUSCOs: 5067)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
8at7147	Complete	SUPER_3	292137616	292139450	+	423.5	227	https://v12-1.orthodb.org/?query=8at7147	protein obstructor-E-like isoform X1
225at7147	Complete	SUPER_2	263522368	263523622	+	976.3	417	https://v12-1.orthodb.org/?query=225at7147	Chromatin assembly factor 1 p55 subunit
284at7147	Complete	SUPER_3	64419926	64415750	-	385.5	182	https://v12-1.orthodb.org/?query=284at7147	nedd8-conjugating enzyme UbcE2M
421at7147	Complete	SUPER_2	307227974	307227426	-	287.4	155	https://v12-1.orthodb.org/?query=421at7147	mitochondrial ribosomal protein L51
445at7147	Complete	SUPER_2	90563823	90586043	+	701.5	337	https://v12-1.orthodb.org/?query=445at7147	arrestin domain-containing protein 2
452at7147	Complete	SUPER_1	101113881	101116393	+	1239.9	620	https://v12-1.orthodb.org/?query=452at7147	myotubularin-related protein 8
511at7147	Missing
525at7147	Complete	SUPER_1	75379151	75378817	-	167.8	81	https://v12-1.orthodb.org/?query=525at7147	40S ribosomal protein S21
540at7147	Complete	SUPER_3	108110105	108110829	+	272.3	202	https://v12-1.orthodb.org/?query=540at7147	probable Ufm1-specific protease 1
836at7147	Complete	SUPER_1	58036744	58038453	+	1235.7	548	https://v12-1.orthodb.org/?query=836at7147	elongator complex protein 3
841at7147	Complete	SUPER_3	151057108	151056089	-	551.7	283	https://v12-1.orthodb.org/?query=841at7147	Thioredoxin-like
908at7147	Complete	SUPER_2	267634110	267633485	-	352.0	172	https://v12-1.orthodb.org/?query=908at7147	DNA-directed RNA polymerase II subunit RPB7
962at7147	Complete	SUPER_2	9013326	9006800	-	362.4	318	https://v12-1.orthodb.org/?query=962at7147	metallophosphoesterase 1
994at7147	Complete	SUPER_3	278314691	278314008	-	397.2	191	https://v12-1.orthodb.org/?query=994at7147	cytochrome c oxidase assembly protein COX11, mitochondrial
1004at7147	Complete	SUPER_2	77484208	77483195	-	413.6	303	https://v12-1.orthodb.org/?query=1004at7147	lipid droplet-associated hydrolase
1049at7147	Complete	SUPER_1	337432641	337434176	+	863.6	411	https://v12-1.orthodb.org/?query=1049at7147	glycine receptor subunit alpha-4
1055at7147	Complete	SUPER_1	130705979	130700938	-	629.4	336	https://v12-1.orthodb.org/?query=1055at7147	geranylgeranyl transferase type-1 subunit beta
1072at7147	Complete	SUPER_1	333996525	333994406	-	623.9	365	https://v12-1.orthodb.org/?query=1072at7147	methionine adenosyltransferase 2 subunit beta
1078at7147	Complete	SUPER_2	35762637	35761698	-	567.4	268	https://v12-1.orthodb.org/?query=1078at7147	DNA-directed RNA polymerase II subunit RPB3
1123at7147	Complete	SUPER_3	65036023	65034702	-	652.7	378	https://v12-1.orthodb.org/?query=1123at7147	actin-related protein 6
1142at7147	Complete	SUPER_3	156180543	156181173	+	300.7	157	https://v12-1.orthodb.org/?query=1142at7147	adrenodoxin-like protein, mitochondrial
1200at7147	Complete	SUPER_3	285543187	285542384	-	415.9	200	https://v12-1.orthodb.org/?query=1200at7147	ADP-ribosylation factor-related protein 1
1247at7147	Complete	SUPER_1	125828491	125830027	+	940.8	479	https://v12-1.orthodb.org/?query=1247at7147	phenylalanine--tRNA ligase alpha subunit
1323at7147	Complete	SUPER_3	110210170	110210882	+	364.6	159	https://v12-1.orthodb.org/?query=1323at7147	ADP-ribosylation factor-like protein 5B
1690at7147	Complete	SUPER_1	29704970	29724784	+	939.9	618	https://v12-1.orthodb.org/?query=1690at7147	protein borderless
1854at7147	Complete	SUPER_1	221258325	221259719	+	720.4	417	https://v12-1.orthodb.org/?query=1854at7147	pyruvate dehydrogenase 
1907at7147	Complete	SUPER_1	253961616	253960361	-	360.7	202	https://v12-1.orthodb.org/?query=1907at7147	mitochondrial ribosomal protein L22
1914at7147	Complete	SUPER_3	95272456	95271157	-	392.1	398	https://v12-1.orthodb.org/?query=1914at7147	uncharacterized protein LOC120771479
1984at7147	Complete	SUPER_2	15637839	15637352	-	228.4	126	https://v12-1.orthodb.org/?query=1984at7147	28S ribosomal protein S17, mitochondrial
2041at7147	Complete	SUPER_2	11059444	11060092	+	311.3	209	https://v12-1.orthodb.org/?query=2041at7147	sentrin-specific protease 8
2067at7147	Complete	SUPER_3	17222774	17240781	+	682.6	377	https://v12-1.orthodb.org/?query=2067at7147	Nocturnin
2304at7147	Complete	SUPER_2	139185398	139185764	+	146.2	101	https://v12-1.orthodb.org/?query=2304at7147	NADH dehydrogenase 
2306at7147	Complete	SUPER_3	122026285	122025091	-	829.5	396	https://v12-1.orthodb.org/?query=2306at7147	Arrestin
2332at7147	Complete	SUPER_1	89114465	89122966	+	537.5	269	https://v12-1.orthodb.org/?query=2332at7147	palmitoyltransferase ZDHHC3
2339at7147	Complete	SUPER_2	115363401	115364375	+	496.4	289	https://v12-1.orthodb.org/?query=2339at7147	Hydroxyacylglutathione hydrolase, mitochondrial
2552at7147	Complete	SUPER_3	294155395	294134503	-	1304.0	652	https://v12-1.orthodb.org/?query=2552at7147	ATP-binding cassette sub-family D member 3
2609at7147	Complete	SUPER_1	15177541	15179446	+	335.3	172	https://v12-1.orthodb.org/?query=2609at7147	protein tyrosine phosphatase type IVA 1
2610at7147	Complete	SUPER_1	73909887	73911445	+	398.3	217	https://v12-1.orthodb.org/?query=2610at7147	ubiquitin carboxyl-terminal hydrolase 14
2635at7147	Complete	SUPER_2	112057939	112056244	-	493.7	316	https://v12-1.orthodb.org/?query=2635at7147	post-GPI attachment to proteins factor 3
2697at7147	Complete	SUPER_3	53136841	53135061	-	1133.0	559	https://v12-1.orthodb.org/?query=2697at7147	probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
2709at7147	Complete	SUPER_1	152192839	152137525	-	1060.4	514	https://v12-1.orthodb.org/?query=2709at7147	GTPase-activating protein skywalker
2727at7147	Complete	SUPER_1	41614174	41608490	-	862.9	490	https://v12-1.orthodb.org/?query=2727at7147	cytochrome P450 4aa1
2881at7147	Fragmented	SUPER_1	640306	639835	-	152.9	136	https://v12-1.orthodb.org/?query=2881at7147	dynein light chain Tctex-type protein 2B
2904at7147	Complete	SUPER_3	1757351	1766096	+	1009.6	542	https://v12-1.orthodb.org/?query=2904at7147	Phosphoacetylglucosamine mutase
2908at7147	Complete	SUPER_3	179829319	179833168	+	2106.5	1109	https://v12-1.orthodb.org/?query=2908at7147	intraflagellar transport protein 122 homolog
2969at7147	Complete	SUPER_3	294996101	294992746	-	1340.1	659	https://v12-1.orthodb.org/?query=2969at7147	NADPH--cytochrome P450 reductase
3120at7147	Complete	SUPER_1	8126152	8125810	-	102.6	73	https://v12-1.orthodb.org/?query=3120at7147	Cytochrome c oxidase subunit 6C
3219at7147	Complete	SUPER_2	317729599	317726473	-	1028.9	479	https://v12-1.orthodb.org/?query=3219at7147	6-phosphogluconate dehydrogenase, decarboxylating
3282at7147	Complete	SUPER_2	265162757	265162221	-	239.2	147	https://v12-1.orthodb.org/?query=3282at7147	probable 28S ribosomal protein S6, mitochondrial
3308at7147	Complete	SUPER_2	16887125	16849425	-	316.3	294	https://v12-1.orthodb.org/?query=3308at7147	Protein-lysine N-methyltransferase EEF2KMT
3333at7147	Complete	SUPER_2	151976702	151978360	+	695.8	495	https://v12-1.orthodb.org/?query=3333at7147	tubulin-specific chaperone E
3410at7147	Complete	SUPER_2	333270316	333271066	+	453.1	247	https://v12-1.orthodb.org/?query=3410at7147	neuronal membrane glycoprotein M6-a
3413at7147	Complete	SUPER_3	298150315	298149249	-	643.8	325	https://v12-1.orthodb.org/?query=3413at7147	mitotic checkpoint protein BUB3
3474at7147	Complete	SUPER_2	283493379	283492515	-	344.9	240	https://v12-1.orthodb.org/?query=3474at7147	RNA transcription, translation and transport factor protein
3577at7147	Complete	SUPER_3	54290436	54290917	+	222.0	125	https://v12-1.orthodb.org/?query=3577at7147	thioredoxin
3788at7147	Complete	SUPER_3	107410742	107410148	-	328.6	179	https://v12-1.orthodb.org/?query=3788at7147	Transmembrane protein
3828at7147	Complete	SUPER_2	137185005	137185866	+	382.1	187	https://v12-1.orthodb.org/?query=3828at7147	40S ribosomal protein S7
