buscoID	query_chr	position	assigned_alg	status
8at7147	OZ223790.1	292138533.0	d3	assigned
225at7147	OZ223789.1	263522995.0	d4	assigned
284at7147	OZ223790.1	64417838.0	NA	unassigned
421at7147	OZ223789.1	307227700.0	d4	assigned
445at7147	OZ223789.1	90574933.0	d6	assigned
452at7147	OZ223788.1	101115137.0	d1	assigned
525at7147	OZ223788.1	75378984.0	d5	assigned
540at7147	OZ223790.1	108110467.0	d1	assigned
836at7147	OZ223788.1	58037598.5	d5	assigned
841at7147	OZ223790.1	151056598.5	NA	unassigned
908at7147	OZ223789.1	267633797.5	d4	assigned
962at7147	OZ223789.1	9010063.0	NA	unassigned
994at7147	OZ223790.1	278314349.5	d2	assigned
1004at7147	OZ223789.1	77483701.5	NA	unassigned
1049at7147	OZ223788.1	337433408.5	d6	assigned
1055at7147	OZ223788.1	130703458.5	NA	unassigned
1072at7147	OZ223788.1	333995465.5	d3	assigned
1078at7147	OZ223789.1	35762167.5	d2	assigned
1123at7147	OZ223790.1	65035362.5	d1	assigned
1142at7147	OZ223790.1	156180858.0	NA	unassigned
1200at7147	OZ223790.1	285542785.5	d3	assigned
1247at7147	OZ223788.1	125829259.0	d3	assigned
1323at7147	OZ223790.1	110210526.0	NA	unassigned
1690at7147	OZ223788.1	29714877.0	NA	unassigned
1854at7147	OZ223788.1	221259022.0	NA	unassigned
1907at7147	OZ223788.1	253960988.5	NA	unassigned
1914at7147	OZ223790.1	95271806.5	d1	assigned
1984at7147	OZ223789.1	15637595.5	d1	assigned
2041at7147	OZ223789.1	11059768.0	d2	assigned
2067at7147	OZ223790.1	17231777.5	NA	unassigned
2304at7147	OZ223789.1	139185581.0	d2	assigned
2306at7147	OZ223790.1	122025688.0	d1	assigned
2332at7147	OZ223788.1	89118715.5	NA	unassigned
2339at7147	OZ223789.1	115363888.0	NA	unassigned
2552at7147	OZ223790.1	294144949.0	d3	assigned
2609at7147	OZ223788.1	15178493.5	d5	assigned
2610at7147	OZ223788.1	73910666.0	NA	unassigned
2635at7147	OZ223789.1	112057091.5	d1	assigned
2697at7147	OZ223790.1	53135951.0	NA	unassigned
2709at7147	OZ223788.1	152165182.0	d5	assigned
2727at7147	OZ223788.1	41611332.0	NA	unassigned
2904at7147	OZ223790.1	1761723.5	d1	assigned
2908at7147	OZ223790.1	179831243.5	d1	assigned
2969at7147	OZ223790.1	294994423.5	d3	assigned
3120at7147	OZ223788.1	8125981.0	d5	assigned
3219at7147	OZ223789.1	317728036.0	NA	unassigned
3282at7147	OZ223789.1	265162489.0	d4	assigned
3308at7147	OZ223789.1	16868275.0	d3	assigned
3333at7147	OZ223789.1	151977531.0	NA	unassigned
3410at7147	OZ223789.1	333270691.0	d2	assigned
3413at7147	OZ223790.1	298149782.0	d3	assigned
3474at7147	OZ223789.1	283492947.0	d4	assigned
3577at7147	OZ223790.1	54290676.5	d1	assigned
3788at7147	OZ223790.1	107410445.0	d1	assigned
3828at7147	OZ223789.1	137185435.5	d2	assigned
3874at7147	OZ223789.1	138780078.0	d2	assigned
4069at7147	OZ223790.1	42324711.0	d1	assigned
4073at7147	OZ223790.1	299489430.0	d3	assigned
4095at7147	OZ223790.1	35809880.0	d1	assigned
4164at7147	OZ223788.1	319457155.0	d3	assigned
4218at7147	OZ223789.1	337236946.5	d4	assigned
4274at7147	OZ223788.1	150596133.5	NA	unassigned
4353at7147	OZ223789.1	129920140.0	d2	assigned
4421at7147	OZ223789.1	17737262.5	NA	unassigned
4470at7147	OZ223789.1	251962701.0	d1	assigned
4511at7147	OZ223789.1	182959138.5	NA	unassigned
4573at7147	OZ223788.1	348979458.0	d3	assigned
4606at7147	OZ223788.1	346282291.0	d3	assigned
4667at7147	OZ223788.1	13267485.5	d5	assigned
4829at7147	OZ223789.1	22288284.5	d1	assigned
4932at7147	OZ223790.1	207726380.0	d3	assigned
5213at7147	OZ223788.1	255752294.0	d3	assigned
5225at7147	OZ223788.1	11615058.5	d5	assigned
5263at7147	OZ223790.1	205106720.0	d3	assigned
5433at7147	OZ223788.1	231862469.5	d3	assigned
5488at7147	OZ223788.1	282994620.0	d3	assigned
5674at7147	OZ223789.1	356369195.5	d4	assigned
5711at7147	OZ223789.1	126228936.0	d2	assigned
5723at7147	OZ223789.1	336214813.0	d4	assigned
5780at7147	OZ223789.1	49898071.5	NA	unassigned
5780at7147	OZ223789.1	49908018.0	NA	unassigned
5845at7147	OZ223788.1	196942921.0	d3	assigned
5858at7147	OZ223788.1	7169102.5	NA	unassigned
5978at7147	OZ223791.1	1472718.5	d6	assigned
6130at7147	OZ223789.1	26563776.0	d2	assigned
6240at7147	OZ223789.1	345415252.5	NA	unassigned
6256at7147	OZ223790.1	44817291.5	d1	assigned
6718at7147	OZ223790.1	32904284.5	d4	assigned
6736at7147	OZ223791.1	6097038.0	d2	assigned
6974at7147	OZ223788.1	339598136.5	NA	unassigned
7054at7147	OZ223789.1	267632701.0	d4	assigned
7326at7147	OZ223790.1	141273713.5	d1	assigned
7353at7147	OZ223790.1	54912500.5	d6	assigned
7355at7147	OZ223789.1	323304023.0	d3	assigned
7470at7147	OZ223789.1	232059791.5	NA	unassigned
7470at7147	OZ223789.1	232061823.5	NA	unassigned
7527at7147	OZ223788.1	230943579.5	d3	assigned
7563at7147	OZ223788.1	226042629.0	d3	assigned
