buscoID	query_chr	position	assigned_alg	status
8at7147	OZ287661.1	26022478.0	db3b	assigned
225at7147	OZ287660.1	37234160.0	db4a	assigned
284at7147	OZ287662.1	17935458.0	db1a	assigned
421at7147	OZ287660.1	24548512.5	db4a	assigned
445at7147	OZ287662.1	12463038.5	db6	assigned
452at7147	OZ287664.1	79773254.0	db1b	assigned
511at7147	OZ287662.1	14692203.0	db1a	assigned
525at7147	OZ287663.1	102158772.5	db5	assigned
540at7147	OZ287664.1	89910174.5	db1b	assigned
836at7147	OZ287663.1	24606332.5	db5	assigned
841at7147	OZ287662.1	14611928.0	db1a	assigned
908at7147	OZ287660.1	47570496.0	db4a	assigned
962at7147	OZ287664.1	14799784.5	db2b	assigned
994at7147	OZ287662.1	105197288.5	db2a	assigned
1004at7147	OZ287662.1	22639585.5	NA	unassigned
1049at7147	OZ287660.1	36377003.0	db6	assigned
1055at7147	OZ287663.1	15591194.0	NA	unassigned
1072at7147	OZ287660.1	99669686.5	db3a	assigned
1078at7147	OZ287663.1	91793182.5	db2b	assigned
1123at7147	OZ287661.1	119009760.0	db1a	assigned
1142at7147	OZ287662.1	54809560.0	db1a	assigned
1200at7147	OZ287661.1	51005918.0	db3b	assigned
1247at7147	OZ287661.1	117236804.0	db3a	assigned
1323at7147	OZ287661.1	60258157.5	db4b	assigned
1690at7147	OZ287663.1	20039262.0	db5	assigned
1854at7147	OZ287661.1	55029707.5	db3b	assigned
1907at7147	OZ287661.1	46751319.5	db3b	assigned
1914at7147	OZ287664.1	104844178.0	db1b	assigned
1984at7147	OZ287664.1	88666425.0	db1b	assigned
2041at7147	OZ287664.1	625660.5	db2b	assigned
2067at7147	OZ287662.1	65363583.0	db1a	assigned
2304at7147	OZ287664.1	20384320.0	db2b	assigned
2306at7147	OZ287662.1	4760066.0	db1a	assigned
2332at7147	OZ287664.1	95679241.5	db1b	assigned
2339at7147	OZ287662.1	116014999.0	db2a	assigned
2552at7147	OZ287661.1	79018445.0	db3b	assigned
2609at7147	OZ287663.1	78475209.0	db5	assigned
2610at7147	OZ287663.1	91758363.5	db5	assigned
2635at7147	OZ287664.1	64515507.5	db1b	assigned
2697at7147	OZ287664.1	81107820.0	db1b	assigned
2709at7147	OZ287663.1	527719.0	db5	assigned
2727at7147	OZ287664.1	97349898.5	db1b	assigned
2881at7147	OZ287664.1	56667879.5	db1b	assigned
2904at7147	OZ287662.1	25785315.0	db1a	assigned
2908at7147	OZ287662.1	29011326.0	db1a	assigned
2969at7147	OZ287661.1	19901439.0	db3b	assigned
3120at7147	OZ287663.1	50931188.5	db5	assigned
3219at7147	OZ287661.1	103646066.5	NA	unassigned
3282at7147	OZ287662.1	19309075.5	db1a	assigned
3308at7147	OZ287661.1	693405.5	db3b	assigned
3333at7147	OZ287664.1	25469656.0	db2b	assigned
3410at7147	OZ287662.1	97342112.5	db2a	assigned
3413at7147	OZ287664.1	13079193.5	db3a	assigned
3474at7147	OZ287660.1	7254031.0	db4a	assigned
3577at7147	OZ287662.1	52169722.5	db1a	assigned
3788at7147	OZ287664.1	93630094.0	db1b	assigned
3828at7147	OZ287660.1	114776818.0	db2b	assigned
3874at7147	OZ287664.1	1479144.5	db2b	assigned
4069at7147	OZ287662.1	42130357.0	db1a	assigned
4073at7147	OZ287662.1	109556670.0	db3b	assigned
4095at7147	OZ287662.1	4673324.0	db1a	assigned
4164at7147	OZ287660.1	86966085.0	NA	unassigned
4211at7147	OZ287662.1	100608448.5	db2b	assigned
4218at7147	OZ287660.1	24980797.5	db4a	assigned
4274at7147	OZ287663.1	99298116.0	db5	assigned
4353at7147	OZ287664.1	10540863.0	db2b	assigned
4421at7147	OZ287662.1	115341061.5	db2a	assigned
4470at7147	OZ287664.1	90431611.0	db1b	assigned
4511at7147	OZ287660.1	25909996.0	db4a	assigned
4573at7147	OZ287660.1	106941683.5	db3a	assigned
4606at7147	OZ287660.1	29425199.0	db3a	assigned
4667at7147	OZ287663.1	104247024.0	db5	assigned
4829at7147	OZ287664.1	92685940.0	db1b	assigned
4932at7147	OZ287661.1	48626892.5	db3b	assigned
5213at7147	OZ287660.1	145431559.0	db3a	assigned
5225at7147	OZ287663.1	99086121.5	db5	assigned
5241at7147	OZ287660.1	30216050.5	db4a	assigned
5263at7147	OZ287660.1	124636642.5	db3a	assigned
5433at7147	OZ287660.1	7245852.0	db4a	assigned
5488at7147	OZ287663.1	4864695.5	db5	assigned
5674at7147	OZ287660.1	7292965.0	db4a	assigned
5711at7147	OZ287663.1	20992774.5	db5	assigned
5723at7147	OZ287661.1	5224053.5	db4b	assigned
5768at7147	OZ287664.1	99504635.0	db1b	assigned
5780at7147	OZ287664.1	23312919.5	db2b	assigned
5845at7147	OZ287663.1	2501308.0	db3a	assigned
5858at7147	OZ287660.1	145183013.0	db3a	assigned
5978at7147	OZ287662.1	25498959.0	db6	assigned
6130at7147	OZ287662.1	114342566.0	db2a	assigned
6240at7147	OZ287660.1	32168824.5	db4a	assigned
6256at7147	OZ287662.1	16008707.0	db1a	assigned
6718at7147	OZ287664.1	103808508.5	NA	unassigned
6736at7147	OZ287660.1	48853264.0	db1a	assigned
6974at7147	OZ287660.1	141262869.0	db3a	assigned
7054at7147	OZ287660.1	25965391.0	db4a	assigned
7326at7147	OZ287662.1	19333824.5	db1a	assigned
7353at7147	OZ287661.1	8975694.0	db6	assigned
